ledger_type,fiscal_year,description,account_descr,revenue_category,actual_amount,program_descr,fund_type,fund_descr
Revenue,2017,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,380000,CT Trust for Historic Prsvtn.,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Recoveries-General,Licenses Permits and Fees,1697435.44,Revenue Deposits,Transportation,Special Revenue
Revenue,2016,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,24453,mCharts,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,9940.25,Direct Certification Planning,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,63250,Preferred Provider Network,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,872157.9,Integrating Colorectal Cancer,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,7000,Research In Plant Science,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,6550,Grape Survey,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,30000,HealingNewtown through Arts,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,74585.34,COPS TECHNOLOGY PROGRAM,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Non-Federal Aid Restricted,Non General Fund Revenue,153168.16,INFORMATION AND CONSUMER  OVER,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,247947,WIC Fresh Produce,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,47669.76,SPC New Haven TRA:Next Step,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,1926563.44,FTA-Clean Fuels Grant Program,Special Revenue,Special Revenue
Revenue,2015,Other Revenue,Investment Interest,Investment Income,24287.49,PFM Administration Expenses,Special Revenue,Special Revenue
Revenue,2015,Other Source,Operating Transfers Out,Other Transfers,-19200000,Non-Budgeted Operating Approp,Enterprise,Enterprise
Revenue,2015,Taxes,Special Motor Fuel Tax-General,Motor Fuels,136095950.4,Revenue Deposits,Transportation,Special Revenue
Revenue,2015,Other Revenue,Investment Interest,Investment Income,38.88,Weisman Teacher Scholars Fund,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,109862.65,Crime Victim Compensation FFY1,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,214775,Refugee School Impact Program,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Prof Srvc Ren License/Class I,Licenses Permits and Fees,2263995,Revenue Deposits,General,General
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,23722.72,Nutrition Educ Food Stamp Prog,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Non-Federal Aid Restricted,Non General Fund Revenue,6171.61,Small Bus Express Asst Account,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,15597,Wilderness School Program,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Educational Fees,Licenses Permits and Fees,101.95,Voc Educ Industrial Account,Enterprise,Enterprise
Revenue,2017,Other Revenue,Grant Transfer Fed Grant-Restr,Non General Fund Revenue,353228,IDEA PT B Sec 611 Ed Handicpd,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Other Fees-Miscellaneous,Licenses Permits and Fees,8770896.56,Community Investment Account,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Non-Federal Aid Restricted,Non General Fund Revenue,20628944.13,Regional Green House Gas,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Fees-Reg/Securities-Exemption,Licenses Permits and Fees,450,Revenue Deposits,General,General
Revenue,2014,Other Revenue,Grievance Fees,Licenses Permits and Fees,29050,Revenue Deposits,General,General
Revenue,2015,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,114220398.8,FedTransit Capitl Invest Grnts,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Grant Transfer Fed Grant-Restr,Non General Fund Revenue,205000,DCF-SBIRT,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,216127,Congregte Housng Srvrs-Western,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Court Fees,Licenses Permits and Fees,1221568,Revenue Deposits,Other Budgeted,Special Revenue
Revenue,2015,Other Revenue,Investment Interest,Investment Income,66.66,Tourism Council's Scholarship,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,100000,Special Project of National Si,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Market Bulletin-Advertising,Sales of Commodities and Services,350,Non-Budgeted Operating Approp,Special Revenue,Special Revenue
Revenue,2015,Other Source,Operating Transfers Out,Other Transfers,-8313275.58,Teachers' Retirement System,Fiduciary,Pension (& Other) Trust
Revenue,2015,Other Revenue,Investment Interest,Investment Income,2822.14,State Library Institutnal Acct,Special Revenue,Special Revenue
Revenue,2015,Other Revenue,Investment Interest,Investment Income,85.14,Forfeited Assets Fund,Special Revenue,Special Revenue
Revenue,2015,Other Source,Operating Transfers In,Other Transfers,11478.69,Conversion Value,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,1008053.97,Special Education- PD,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,10000,NASDDDS,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,1168753.1,Regional Training Institute,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Racing/Jai Alai Reg-Licenses,Licenses Permits and Fees,46940,Revenue Deposits,General,General
Revenue,2015,Other Source,DS Int/Costs paid byTrustee,Other Transfers,-38878752.26,Conversion Value,Enterprise,Enterprise
Revenue,2014,Other Revenue,Refunds - Educational Fees,Licenses Permits and Fees,-73293.81,Brd For St Acad Awrd Op Fund,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Non-Federal Aid Restricted,Non General Fund Revenue,128220.73,Pharmacy Partnership,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Examination Fees-Telephone,Licenses Permits and Fees,12000,Revenue Deposits,Other Budgeted,Special Revenue
Revenue,2012,Other Revenue,Educational Fees,Licenses Permits and Fees,104635456.8,Non-Budgeted Operating Approp,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Non-Federal Aid Restricted,Non General Fund Revenue,65807.01,Conn. Farm Wine Devel. PA09229,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,350000,CT Retirement Security Board,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,12000,Casey Fam Prg - Racial Justice,Special Revenue,Special Revenue
Revenue,2015,Other Revenue,Investment Interest,Investment Income,5,Connecticut Futures Account,Special Revenue,Special Revenue
Revenue,2015,Other Revenue,Private Donations,Licenses Permits and Fees,3485.48,Museum Enhancement Fund,Special Revenue,Special Revenue
Revenue,2015,Taxes,Cig Distributor Tax-General,Cigarettes and Tobacco,347812051.7,Revenue Deposits,General,General
Revenue,2015,Other Source,Operating Transfers Out,Other Transfers,-3000000,Priv Occup Sch Stud Prtct Acct,Special Revenue,Special Revenue
Revenue,2015,Taxes,Pers Income Tax-Final Payments,Personal Income,1741271142,Revenue Deposits,General,General
Revenue,2015,Other Source,Operating Transfers In,Other Transfers,540710.59,Late Filing Fees Emp Pyrll Tax,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,11626.61,ARRA-Non-Covalent Interactions,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,3726097.3,Vaccination Assistance,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,210376.94,Clinical Lab Improvement Amend,Special Revenue,Special Revenue
Revenue,2016,Other Source,Operating Transfers Out,Transfers Out,-6135,Preferred Provider Network,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,New Home Construction Licenses,Licenses Permits and Fees,1315500.41,Non-Budgeted Operating Approp,Fiduciary,Other Trust Funds
Revenue,2013,Taxes,Taxes On Adm  Dues & Cabarets,Admissions Dues and Cabaret,36543886.6,Revenue Deposits,General,General
Revenue,2014,Other Revenue,Fees-Filing-Limited Branch,Licenses Permits and Fees,9000,Revenue Deposits,Other Budgeted,Special Revenue
Revenue,2013,Other Revenue,Licenses-Private Det/Bondsmen,Licenses Permits and Fees,835284.5,Revenue Deposits,General,General
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,96202.34,CT MULTICULTURAL PARTNERSHIP G,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Non-Federal Aid Restricted,Non General Fund Revenue,7949,USDA GAP/GHP,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Grant Transfer Fed Grant-Restr,Non General Fund Revenue,343257,Comm Dev Block Grnt CDBY Admin,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Other Permits-Game Animals,Licenses Permits and Fees,133052,Revenue Deposits,General,General
Revenue,2017,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,37500,Farm Link Program PA 05228,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Fee-External Appeal Filing-UR,Licenses Permits and Fees,6425,Revenue Deposits,Other Budgeted,Special Revenue
Revenue,2013,Other Revenue,Non-Federal Aid Restricted,Non General Fund Revenue,20,Non Harvested Wildlife,Special Revenue,Special Revenue
Revenue,2015,Taxes,Motor Carrier Tax-Ifta,Motor Fuels,19048455.55,Revenue Deposits,Transportation,Special Revenue
Revenue,2015,Other Revenue,Investment Interest,Investment Income,714764010,Non-Budgeted Operating Approp,Fiduciary,Pension (& Other) Trust
Revenue,2015,Other Revenue,Investment Interest,Investment Income,12.31,Connecticut State Library Acct,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Trapping Rights Licenses,Licenses Permits and Fees,5760,Revenue Deposits,General,General
Revenue,2017,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,6147329.63,Probation Trans-Tech Viol Unit,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Fees-Bingo Games,Licenses Permits and Fees,185870.72,Revenue Deposits,General,General
Revenue,2017,Other Revenue,Other Rents-Halls/Rooms,Rents Fines and Escheats,2480.28,Non-Budgeted Operating Approp,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Non-Federal Aid Restricted,Non General Fund Revenue,369981.75,Energy Unit Load Management,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Prof Srvcs Licensure-Lockbox,Licenses Permits and Fees,19237428,Revenue Deposits,General,General
Revenue,2013,Other Revenue,Non-Federal Aid Restricted,Non General Fund Revenue,65859.6,Military Family Relief Fund,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,66495.4,Arts In Public Places,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,1077886.65,Matrnl Infant and Early Child,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Sundry Services-Miscellaneous,Sales of Commodities and Services,812368.76,Revenue Deposits,General,General
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,244331.06,Federal Contaminated Prop RLF,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,2130,Larkin Bridle Trail,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,528062.63,CT Intgr Trauma Resp for Child,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Broker/Salesmen Fees-General,Licenses Permits and Fees,20223620,Revenue Deposits,Other Budgeted,Special Revenue
Revenue,2013,Other Revenue,Non-Federal Aid Restricted,Non General Fund Revenue,1007475.68,CWF COST OF ISSUANCE,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,-500,CAPI GO BONDS 2004 D,Special Revenue,Special Revenue
Revenue,2015,Other Revenue,Investment Interest,Investment Income,11845.09,Student Scholarships & Loans,Special Revenue,Special Revenue
Revenue,2015,Other Revenue,Investment Interest,Investment Income,21633.47,Employment Security P&I,Special Revenue,Special Revenue
Revenue,2015,Other Revenue,Operating Transfers In,Other Transfers,41196589.89,Revenue Deposits,Transportation,Special Revenue
Revenue,2015,Other Revenue,Private Donations,Licenses Permits and Fees,1832.7,Donations-Other,Special Revenue,Special Revenue
Revenue,2015,Other Source,Operating Rev (Exp),Other Transfers,25308063.4,Conversion Value,Enterprise,Enterprise
Revenue,2012,Other Revenue,Fees-Vault/Crypt Plan Review,Licenses Permits and Fees,1250,Revenue Deposits,General,General
Revenue,2016,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,25,CAPI GO BONDS 2004 C,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Unemployment Compensation,Licenses Permits and Fees,18344.13,Revenue Deposits,Transportation,Special Revenue
Revenue,2016,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,350000,CT Manufacturing Innov. Fund,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Grant Transfer Fed Grant-Restr,Non General Fund Revenue,63637,Adolescent Life Skills Trng,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,64935.81,Boxwood Blight Mitigation,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,9999.49,Japanese Barberry Control,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,714970.13,Gas Pipeline Safety,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,55807.96,SPC BOS-Torrington TRA:Cons.,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,888000,EXP- Admin,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,10000,Stop Violence Against Women,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,2294354.3,Emerging Infections Program,Special Revenue,Special Revenue
Revenue,2015,Other Revenue,Investment Interest,Investment Income,7567.18,OPEB HLTH INS EMPLOYEE CONTRI,Fiduciary,Pension (& Other) Trust
Revenue,2015,Other Revenue,Comb Wage Claim Unemp Benefits,Miscellaneous,13159991.06,Non-Budgeted Operating Approp,Fiduciary,Other Trust Funds
Revenue,2015,Other Revenue,Mohegan Sun Gaming Payments,Indian Gaming Payments,146682697.8,Revenue Deposits,General,General
Revenue,2015,Other Source,Operating Transfers In,Other Transfers,40183652.88,Conversion Value,Debt Service,Debt Service
Revenue,2015,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,197185426.9,Medicare Part B Premiums,Special Revenue,Special Revenue
Revenue,2015,Other Revenue,Investment Interest,Investment Income,51.64,Fitch Fund,Fiduciary,Other Trust Funds
Revenue,2015,Other Revenue,Investment Interest,Investment Income,16180.12,Citizen Election Fund Grants,Special Revenue,Special Revenue
Revenue,2015,Other Revenue,Investment Interest,Investment Income,40.89,Correction Memorial Fund,Special Revenue,Special Revenue
Revenue,2016,Other Source,Operating Transfers Out,Transfers Out,-3000000,Priv Occup Sch Stud Prtct Acct,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,2073996.18,Srvy Epidemiology & End Result,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Recording Fees,Licenses Permits and Fees,125870.01,Revenue Deposits,General,General
Revenue,2017,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,34150,Mosquito ID/Arbovirus Testing,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,291868.25,ICAC GRANT,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,245324,CN School Food Equipment,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,15200,Judicial Conference & Seminars,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,20000,Hwy. Training and Education,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,20,Egg Inspection & Grading,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Probate Court Assessments,Licenses Permits and Fees,804.65,Probate Court Administration,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,73525.77,SCA Reentry Planning,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,30000,NTEP,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Electrician Licenses,Licenses Permits and Fees,2196062,Revenue Deposits,General,General
Revenue,2014,Other Revenue,Prof Srvcs Licensure-Lockbox,Licenses Permits and Fees,11611905,Revenue Deposits,General,General
Revenue,2015,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,617113346.1,Operating Expenses-UCONN & CSU,Special Revenue,Special Revenue
Revenue,2015,Other Revenue,Investment Interest,Investment Income,3111.13,Brd For St Acad Awrd Op Fund,Special Revenue,Special Revenue
Revenue,2015,Other Revenue,Investment Interest,Investment Income,-2069575.19,Conversion Value,General,General
Revenue,2014,Other Revenue,Laboratory Fees,Licenses Permits and Fees,1217139.79,Revenue Deposits,General,General
Revenue,2015,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,449497622.9,Hwy. Planning & Construction,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,2224838.84,Region 3 UASI Program,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,-48885.91,SW Corridr Improvmnts SA 87-42,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Non-Federal Aid Restricted,Non General Fund Revenue,50147.4,Old State House(private funds),Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,609216.52,MCSAP Basic Grant   MC-05-09-1,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Fees-Inspect Elev/Pass Trams,Licenses Permits and Fees,750200,Revenue Deposits,General,General
Revenue,2016,Other Revenue,TSF-Statewide Telecomm Revenue,Sales of Commodities and Services,549,Non-Budgeted Operating Approp,Internal Service,Internal Service
Revenue,2014,Other Revenue,Sundry Airport Services,Licenses Permits and Fees,1857.87,Revenue Deposits,Transportation,Special Revenue
Revenue,2017,Other Source,Operating Transfers Out,Transfers Out,-5000000,Municipal Video Competition Tr,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,12431,Domstc Viol Sanc 14VWJUDSANCTI,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Refunds - Educational Fees,Licenses Permits and Fees,-3500,Voc Educ Industrial Account,Enterprise,Enterprise
Revenue,2016,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,20150,VicariousTraumatization Phase2,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,8075.43,Stormwise-Forest Stewardship,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,39125.8,Acq/Dev/Plan Outdoor Recreatn,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Private Donations,Federal Grants,10,Revenue Deposits,General,General
Revenue,2016,Other Source,Operating Transfers Out,Transfers Out,-275000,CEF Reserve Account,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Non-Federal Aid Restricted,Non General Fund Revenue,900000,COI GO BONDS 2013 A & B,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Laboratory Fees,Licenses Permits and Fees,905083.05,Revenue Deposits,General,General
Revenue,2017,Other Revenue,Civic Center Revenues,Miscellaneous,21507613.88,Retiree Pharmacy,Fiduciary,Pension (& Other) Trust
Revenue,2014,Other Revenue,Water Compliance Permits,Licenses Permits and Fees,1749696,Nitrogen Credit Exchange Prog,Enterprise,Enterprise
Revenue,2017,Other Revenue,Grant Transfer Fed Grant-Restr,Non General Fund Revenue,-72500,Honey Bees and Bumble Bees,Special Revenue,Special Revenue
Revenue,2017,Taxes,Community Antenna TV Syst Tax,Public Service Corporations,32726247.39,Revenue Deposits,General,General
Revenue,2014,Other Revenue,Reg-Qual Patient-Med Marijuana,Licenses Permits and Fees,153530,Palliative Marijuana AdminAcct,Special Revenue,Special Revenue
